combo,filename,label,esp_only,window_index,start_offset_sec,n_packets,n_bytes,pkts_per_sec,bytes_per_sec,mean_size,std_size,min_size,max_size,median_size,mean_inter_arrival,std_inter_arrival,max_inter_arrival,fwd_packet_ratio,fwd_byte_ratio
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__video_run1.pcap,video_streaming,True,0,0.0,282,238408,282.0,238408.0,845.418439716312,690.9715080933838,108,1500,1500.0,0.0034145799820109192,0.032280475972188735,0.31441497802734375,0.425531914893617,0.056239723499211434
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__video_run1.pcap,video_streaming,True,1,1.0,218,188616,218.0,188616.0,865.2110091743119,689.8227926242084,108,1500,1500.0,0.002937308104906214,0.030029908373280425,0.31479883193969727,0.41743119266055045,0.054141748314034864
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__voip_run1.pcap,voip,True,0,0.0,30,13720,30.0,13720.0,457.3333333333333,80.50415852755611,380,588,428.0,0.014119583984901166,0.031704281650570515,0.09241604804992676,0.5,0.5262390670553936
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,0,0.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.03253178847463507,0.13987040926432362,0.6101179122924805,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,1,1.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0003138913048638238,0.0004808071263753473,0.0015799999237060547,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,2,2.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.018471629996048778,0.07902431227218122,0.34479498863220215,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,3,3.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.00032644801669650606,0.00047701712695690917,0.0015871524810791016,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,4,4.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.017530115027176708,0.07487425855820848,0.32671594619750977,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,5,5.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.000328116946750217,0.0004314318709401803,0.001438140869140625,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,6,6.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0004295772976345486,0.0007655466390028157,0.0024499893188476562,0.6,0.357429718875502
