label,packet_count,total_bytes,duration_sec,bytes_per_sec,mean_size,std_size,min_size,max_size,mean_inter_arrival,std_inter_arrival,fwd_packet_ratio,bwd_packet_ratio
icmp,20,2880,5.102077960968018,564.4758904181028,144.0,33.60451097538449,98,170,0.2685304189983167,0.4595823059074176,0.35,0.65
video_streaming,500,491028,1.3190891742706299,372247.7673061841,982.056,648.1312282571209,66,1514,0.0026434652790994586,0.0285968412368499,0.304,0.696
voip,40,18545,0.40067195892333984,46284.74637914004,463.625,93.43685307639868,339,618,0.01027363997239333,0.027957261858559682,0.325,0.675
web_browsing,300,73047,17.25303292274475,4233.86429082285,243.49,293.42103351617277,66,1002,0.05770245124663796,0.2143419791323354,0.43,0.57
file_transfer,5000,6587184,0.8115291595458984,8117002.232779834,1317.4368,474.4742580689431,122,1514,0.0001623382995690935,0.0015408692899642074,0.875,0.125
icmp,20,3024,8.1477530002594,371.1452715741046,151.2,8.618218157515294,126,154,0.4288291052768105,0.5101183465373827,0.5,0.5
video_streaming,500,445480,1.9652678966522217,226676.47538478728,890.96,688.302380304955,106,1514,0.003938412618541527,0.0347241106793749,0.396,0.604
voip,30,14140,0.4092278480529785,34552.878224869586,471.3333333333333,80.50415852755611,394,602,0.014111305105275121,0.03155383264888579,0.5,0.5
web_browsing,300,63960,18.59455704689026,3439.716248077909,213.2,253.4099749114375,122,970,0.062189154002977455,0.1990871531429532,0.6,0.4
file_transfer,5000,6625312,0.9686839580535889,6839498.006462784,1325.0624,459.6613251220975,122,1514,0.00019377554672006178,0.005348404479770586,0.8902,0.1098
icmp,20,3024,8.176723957061768,369.83026648323437,151.2,8.618218157515294,126,154,0.4303538924769351,0.514596002046518,0.5,0.5
video_streaming,500,424728,1.9221479892730713,220965.2963092743,849.456,691.1905966850908,122,1514,0.0038519999785031488,0.03436173918900796,0.436,0.564
voip,30,14140,0.412276029586792,34297.4099517063,471.3333333333333,80.50415852755611,394,602,0.014216414813337654,0.03198345543595936,0.5,0.5
web_browsing,300,63960,19.9444739818573,3206.903328620343,213.2,253.4099749114375,122,970,0.06670392636072675,0.21183280002515256,0.6,0.4
file_transfer,5000,4213694,0.5757579803466797,7318516.015119442,842.7388,697.820495588495,66,1514,0.00011517463099553504,0.001557896581845741,0.5336,0.4664
icmp,20,2880,5.077555179595947,567.2021077335056,144.0,33.60451097538449,98,170,0.2672397462945235,0.45390315021228933,0.35,0.65
video_streaming,500,489714,1.292748212814331,378816.22666016745,979.428,648.8854332059349,66,1514,0.002590677781191044,0.028161009540822454,0.306,0.694
voip,40,18545,0.40117406845092773,46226.81638324401,463.625,93.43685307639868,339,618,0.010286514575664815,0.028021935342998457,0.325,0.675
web_browsing,300,73047,13.950752019882202,5236.061819169,243.49,293.42103351617277,66,1002,0.04665803351131171,0.1795758225060255,0.43,0.57
file_transfer,5000,4001830,0.9343471527099609,4283022.6307140505,800.366,699.0278114783732,66,1514,0.00018690681190437305,0.005373258145840763,0.5032,0.4968
icmp,20,2880,5.040478944778442,571.3742744592681,144.0,33.60451097538449,98,170,0.26528836551465484,0.4445910495105686,0.35,0.65
video_streaming,500,488338,1.2896161079406738,378669.2776192161,976.676,649.5312746724019,66,1514,0.002584401017917182,0.028062192840007345,0.308,0.692
voip,40,18545,0.40167713165283203,46168.92160051663,463.625,93.43685307639868,339,618,0.010299413632123899,0.02776490343450197,0.325,0.675
web_browsing,300,73047,13.81442904472351,5287.732107024768,243.49,293.42103351617277,66,1002,0.04620210382850672,0.17620011391545062,0.43,0.57
